Region,Zone,Reef,Site,Transect,Apex,ApexSR,Tpred,TpredSR,Ntpred,NtpredSR,Mherb,MherbSR,Tgraz,TgrazSR,Coral,Macro,Turf,CCA,Rubble,Algae,All_Benthos,%Macro,%Turf
Swains,B,HP2,10,40,3.647586981,1.909865697,8,2.828427125,1,1,16,4,8,2.828427125,66,0,32,0,1,32,99,0,0.323232323
Swains,B,HP2,11,41,3.647586981,1.909865697,2,1.414213562,3,1.732050808,13,3.605551275,12,3.464101615,55,0,20,1,22,20,98,0,0.204081633
Swains,B,HP2,11,42,3.647586981,1.909865697,8,2.828427125,2,1.414213562,22,4.69041576,12,3.464101615,64,0,24,0,12,24,100,0,0.24
Swains,B,HP2,11,43,3.647586981,1.909865697,4,2,6,2.449489743,19,4.358898944,17,4.123105626,58,0,33,1,7,33,99,0,0.333333333
Swains,B,HP2,11,44,3.647586981,1.909865697,9,3,7,2.645751311,13,3.605551275,16,4,57,0,38,0,2,38,97,0,0.391752577
Swains,B,21-466,12,45,0.685871056,0.828173325,2,1.414213562,4,2,24,4.898979486,10,3.16227766,43,8,35,0,14,43,100,0.08,0.35
Swains,B,21-466,12,46,0.685871056,0.828173325,3,1.732050808,2,1.414213562,30,5.477225575,11,3.31662479,40,3,33,0,22,36,98,0.030612245,0.336734694
Swains,B,21-466,12,47,0.685871056,0.828173325,2,1.414213562,6,2.449489743,51,7.141428429,11,3.31662479,40,9,25,0,26,34,100,0.09,0.25
Swains,B,21-466,12,48,0.685871056,0.828173325,4,2,4,2,12,3.464101615,9,3,61,7,18,0,14,25,100,0.07,0.18
Swains,B,21-466,13,49,0.685871056,0.828173325,7,2.645751311,0,0,21,4.582575695,9,3,54,0,18,0,24,18,96,0,0.1875
Swains,B,21-466,13,50,0.685871056,0.828173325,5,2.236067977,5,2.236067977,29,5.385164807,8,2.828427125,48,0,28,0,23,28,99,0,0.282828283
Swains,B,21-466,13,51,0.685871056,0.828173325,3,1.732050808,2,1.414213562,18,4.242640687,4,2,34,4,31,0,31,35,100,0.04,0.31
Swains,B,21-466,14,52,0.685871056,0.828173325,5,2.236067977,5,2.236067977,26,5.099019514,6,2.449489743,62,4,20,0,13,24,99,0.04040404,0.202020202
Swains,B,21-466,14,53,0.685871056,0.828173325,7,2.645751311,1,1,24,4.898979486,9,3,46,8,14,1,31,22,100,0.08,0.14
Swains,B,21-466,14,54,0.685871056,0.828173325,7,2.645751311,2,1.414213562,18,4.242640687,7,2.645751311,55,2,23,0,18,25,98,0.020408163,0.234693878
Swains,B,21-466,14,55,0.685871056,0.828173325,7,2.645751311,2,1.414213562,26,5.099019514,13,3.605551275,40,3,31,0,25,34,99,0.03030303,0.313131313
Swains,B,21-466,15,56,0.685871056,0.828173325,2,1.414213562,2,1.414213562,21,4.582575695,6,2.449489743,51,7,14,0,27,21,99,0.070707071,0.141414141
Swains,B,21-466,15,57,0.685871056,0.828173325,4,2,8,2.828427125,17,4.123105626,8,2.828427125,52,0,30,0,18,30,100,0,0.3
Swains,B,21-466,15,58,0.685871056,0.828173325,12,3.464101615,5,2.236067977,18,4.242640687,16,4,66,0,23,0,7,23,96,0,0.239583333
Swains,G,21-544,16,59,4.261363636,2.06430706,8,2.828427125,3,1.732050808,17,4.123105626,19,4.358898944,53,11,21,0,12,32,97,0.113402062,0.216494845
Swains,G,21-544,16,60,4.261363636,2.06430706,11,3.31662479,19,4.358898944,58,7.615773106,18,4.242640687,60,4,17,2,17,21,100,0.04,0.17
Swains,G,21-544,16,61,4.261363636,2.06430706,9,3,2,1.414213562,23,4.795831523,18,4.242640687,31,1,31,2,35,32,100,0.01,0.31
Swains,G,21-544,16,62,4.261363636,2.06430706,9,3,7,2.645751311,34,5.830951895,8,2.828427125,36,1,15,0,46,16,98,0.010204082,0.153061224
Swains,G,21-544,17,63,4.261363636,2.06430706,17,4.123105626,15,3.872983346,26,5.099019514,19,4.358898944,49,9,20,2,17,29,97,0.092783505,0.206185567
Swains,G,21-544,17,64,4.261363636,2.06430706,5,2.236067977,1,1,37,6.08276253,14,3.741657387,43,14,19,2,19,33,97,0.144329897,0.195876289
Swains,G,21-544,17,65,4.261363636,2.06430706,8,2.828427125,5,2.236067977,44,6.633249581,20,4.472135955,39,3,19,0,38,22,99,0.03030303,0.191919192
Swains,G,21-544,17,66,4.261363636,2.06430706,7,2.645751311,14,3.741657387,40,6.32455532,17,4.123105626,30,10,30,0,29,40,99,0.101010101,0.303030303
Swains,G,21-544,18,67,4.261363636,2.06430706,16,4,22,4.69041576,19,4.358898944,10,3.16227766,34,3,17,1,45,20,100,0.03,0.17
Swains,G,21-544,18,68,4.261363636,2.06430706,16,4,0,0,30,5.477225575,10,3.16227766,44,2,33,4,15,35,98,0.020408163,0.336734694
Swains,G,21-544,18,69,4.261363636,2.06430706,9,3,2,1.414213562,52,7.211102551,8,2.828427125,38,1,26,4,29,27,98,0.010204082,0.265306122
Swains,G,21-544,18,70,4.261363636,2.06430706,3,1.732050808,4,2,14,3.741657387,18,4.242640687,12,6,17,4,60,23,99,0.060606061,0.171717172
Swains,G,21-544,19,71,4.261363636,2.06430706,12,3.464101615,4,2,30,5.477225575,14,3.741657387,21,3,14,1,60,17,99,0.03030303,0.141414141
Swains,G,21-544,19,72,4.261363636,2.06430706,5,2.236067977,4,2,8,2.828427125,13,3.605551275,28,1,15,4,52,16,100,0.01,0.15
Swains,G,21-544,19,73,4.261363636,2.06430706,12,3.464101615,4,2,21,4.582575695,19,4.358898944,40,5,33,1,20,38,99,0.050505051,0.333333333
Swains,G,21-544,19,74,4.261363636,2.06430706,11,3.31662479,9,3,25,5,29,5.385164807,32,3,30,3,32,33,100,0.03,0.3
Swains,P,21-507,20,75,4.501969612,2.121784535,15,3.872983346,6,2.449489743,51,7.141428429,18,4.242640687,42,0,8,1,34,8,85,0,0.094117647
Swains,P,21-507,20,76,4.501969612,2.121784535,15,3.872983346,3,1.732050808,46,6.782329983,25,5,34,1,6,1,50,7,92,0.010869565,0.065217391
Swains,P,21-507,20,77,4.501969612,2.121784535,3,1.732050808,7,2.645751311,44,6.633249581,29,5.385164807,33,0,4,0,47,4,84,0,0.047619048
Swains,P,21-507,20,78,4.501969612,2.121784535,22,4.69041576,3,1.732050808,94,9.695359715,20,4.472135955,24,2,6,0,61,8,93,0.021505376,0.064516129
Swains,P,21-507,21,79,4.501969612,2.121784535,6,2.449489743,2,1.414213562,99,9.949874371,25,5,56,1,34,0,0,35,91,0.010989011,0.373626374
Swains,P,21-507,21,80,4.501969612,2.121784535,10,3.16227766,1,1,39,6.244997998,21,4.582575695,51,1,38,0,0,39,90,0.011111111,0.422222222
Swains,P,21-507,21,81,4.501969612,2.121784535,9,3,9,3,46,6.782329983,25,5,38,0,47,0,0,47,85,0,0.552941176
Swains,P,21-507,21,82,4.501969612,2.121784535,11,3.31662479,5,2.236067977,20,4.472135955,23,4.795831523,55,0,33,0,0,33,88,0,0.375
Swains,P,21-507,22,83,4.501969612,2.121784535,10,3.16227766,4,2,67,8.185352772,27,5.196152423,57,6,25,3,7,31,98,0.06122449,0.255102041
Swains,P,21-507,22,84,4.501969612,2.121784535,5,2.236067977,4,2,49,7,29,5.385164807,36,6,38,1,13,44,94,0.063829787,0.404255319
Swains,P,21-507,22,85,4.501969612,2.121784535,7,2.645751311,1,1,86,9.273618495,42,6.480740698,41,3,38,3,0,41,85,0.035294118,0.447058824
