Date,Area,Location,Common Name,Species Name,Fate,Reason for euthanasia,Marine Park
20/10/2020,Townsville,Nelly Bay,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
23/10/2020,Cairns,Trinity,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
24/10/2020,Townsville,Horseshoe Bay,SHARK RAY,Rhina ancylostoma,Deceased,,State
26/10/2020,Townsville,Alma Bay,BLACKTIP REEF WHALER,Carcharhinus melanopterus,Released Alive,,Commonwealth
26/10/2020,Townsville,Horseshoe Bay,BULL WHALER,Carcharhinus leucas,Deceased,,State
26/10/2020,Townsville,Palarenda Beach,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
28/10/2020,Cairns,Ellis Beach,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
28/10/2020,Cairns,Trinity,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
28/10/2020,Townsville,Alma Bay,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
28/10/2020,Townsville,Palarenda Beach,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
30/10/2020,Cairns,Buchans  ,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,Commonwealth
31/10/2020,Mackay,Bucasia Beach,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
