OBS,SVSPP,PDSCINAMO,PDSCINAMB,PDSCINAM,MIN_PDL,N_PDL,MAX_PDL,MEAN_PDL,SE_PDL,AVE_PDS,SE_PDS
86,360,RHIZOPRIONODON,TERRAENOVAE,RHIZOPRIONODON TERRAENOVAE,105,43,154,90.229,1.3454,26.276,3.4916
87,362,SPHYRNA,LEWINI,SPHYRNA LEWINI,2,89,112,100.5,11.5,3.5,1.5
88,373,DASYATIS,SABINA,DASYATIS SABINA,1,77,77,77,.,0,.
89,375,GYMNURA,ALTAVELA,GYMNURA ALTAVELA,42,57,199,97.024,6.2203,2.798,1.321
90,380,ACIPENSER,OXYRHYNCHUS,ACIPENSER OXYRHYNCHUS,3,84,120,97,11.5326,108.333,8.333
91,435,SYNODUS,FOETENS,SYNODUS FOETENS,39,16,35,24.077,0.7621,2.072,0.553
92,439,TRACHINOCEPHALUS,MYOPS,TRACHINOCEPHALUS MYOPS,22,13,24,17.909,0.7175,1.709,0.774
93,454,UROPHYCIS,EARLLI,UROPHYCIS EARLLI,1,28,28,28,.,10,.
94,489,FISTULARIA,PETIMBA,FISTULARIA PETIMBA,3,88,103,93.667,4.7022,8.333,6.009
95,500,ANTHIAS,NICHOLSI,ANTHIAS NICHOLSI,7,21,28,23.714,0.9184,0.243,0.136
96,502,ILLEX,ILLECEBROSUS,ILLEX ILLECEBROSUS,653,8,32,20.962,0.1373,2.21,0.534
97,503,LOLIGO,PEALEII,LOLIGO PEALEII,800,4,39,14.2,0.142,0.411,0.04
98,524,MYCTEROPERCA,INTERSTITIALIS,MYCTEROPERCA INTERSTITIALIS,1,76,76,76,.,0,.
99,536,EPINEPHELUS,NIGRITUS,EPINEPHELUS NIGRITUS,2,84,123,103.5,19.5,185,115
100,537,EPINEPHELUS,NIVEATUS,EPINEPHELUS NIVEATUS,8,46,90,69.375,5.0883,21.125,12.222
101,542,MYCTEROPERCA,PHENAX,MYCTEROPERCA PHENAX,3,51,74,65.333,7.2188,0,0
102,563,RACHYCENTRON,CANADUM,RACHYCENTRON CANADUM,6,58,113,84.5,9.355,68.333,24.106
103,564,ECHENEIS,NAUCRATES,ECHENEIS NAUCRATES,1,43,43,43,.,6,.
104,578,SERIOLA,RIVOLIANA,SERIOLA RIVOLIANA,1,94,94,94,.,190,.
105,596,RHOMBOPLITES,AURORUBENS,RHOMBOPLITES AURORUBENS,5,19,23,21.4,0.6782,0.4,0.1
106,631,ARCHOSARGUS,PROBATOCEPHALUS,ARCHOSARGUS PROBATOCEPHALUS,15,31,55,46.667,1.7503,12.4,3.123
